Hidráulica I;GNE110;34;34;1A 1B 1F;75
Hidráulica I;GNE110;34;34;5A;25
Hidráulica I;GNE110;34;34;1B;25
Hidráulica I;GNE110;34;34;1A;25
Hidráulica I;GNE110;34;34;1C 1D 1E;75
Hidráulica I;GNE110;34;34;1C;25
Hidráulica I;GNE110;34;34;1D;25
Hidráulica I;GNE110;34;34;1E;25
Hidráulica I;GNE110;34;34;1F;25
Hidráulica I;GNE110;34;34;3A;25
Hidráulica I;GNE110;34;34;19A 3A 5A;75
Hidráulica I;GNE110;34;34;19A;25
Teoria das Estruturas;GNE111;34;34;22A 3A;35
Hidráulica II;GNE112;34;34;3A;15
Hidrologia I;GNE113;34;34;3A 5A;50
Hidrologia I;GNE113;34;34;3A;25
Hidrologia I;GNE113;34;34;5A;25
Introdução Aos Circuitos Elétricos;GNE114;68;0;22A 3A;55
Mecânica dos Solos e Fundações;GNE115;34;34;3A;15
Resistência dos Materiais;GNE118;34;34;22A 3A;20
Irrigação e Drenagem I;GNE120;34;34;1D 3A;60
Irrigação e Drenagem I;GNE120;34;34;3A;30
Irrigação e Drenagem I;GNE120;34;34;1A 1B 1C;90
Irrigação e Drenagem I;GNE120;34;34;1A;30
Irrigação e Drenagem I;GNE120;34;34;1B;30
Irrigação e Drenagem I;GNE120;34;34;1C;30
Irrigação e Drenagem I;GNE120;34;34;1D;30
Tecnologia de Materiais I;GNE121;0;34;3A;30
Tecnologia de Materiais I;GNE121;0;34;22A;25
Conversão de Energia Elétrica;GNE122;34;34;3A;30
Estruturas Metálicas e de Madeira;GNE124;34;34;3A;30
Armazenamento de Prod Agrícolas;GNE125;34;34;11A 3A;30
Armazenamento de Prod Agrícolas;GNE125;34;34;1A 3B;30
Estrutura de Concreto Armado;GNE128;34;34;3A;30
Irrigação e Drenagem II;GNE129;34;34;1A 3A;30
Elementos de Máquinas;GNE130;34;34;3A;25
Secagem e Aeração de Produtos Agrícolas;GNE131;34;34;3A;30
Eletrificação Rural;GNE132;17;34;3A;25
Projeto de Máquinas I;GNE134;0;34;3A;25
Introdução à Engenharia Ambiental;GNE137;17;17;19A;55
Desenho Técnico II;GNE138;17;34;22A;30
Desenho Técnico II;GNE138;17;34;19A 19B;60
Desenho Técnico II;GNE138;17;34;19A;30
Desenho Técnico II;GNE138;17;34;3A;30
Desenho Técnico II;GNE138;17;34;19B;30
Abastecimento de Água;GNE150;17;34;3A;29
Introdução à Engenharia de Controle e Automação;GNE155;34;0;22A;55
Introdução ao Controle Ambiental;GNE156;51;0;11A;55
Introdução ao Controle Ambiental;GNE156;51;0;22A;30
Máquinas e Mecanização Agrícola;GNE158;34;34;1A;30
Máquinas e Mecanização Agrícola;GNE158;34;34;1A 2A;55
Máquinas e Mecanização Agrícola;GNE158;34;34;2A;25
Máquinas e Mecanização Florestal;GNE159;34;17;5A;30
Construções Rurais;GNE161;34;34;1C 1D 1E;90
Construções Rurais;GNE161;34;34;1C;30
Construções Rurais;GNE161;34;34;1D;30
Construções Rurais;GNE161;34;34;1A 1B;60
Construções Rurais;GNE161;34;34;1A;30
Construções Rurais;GNE161;34;34;1B;30
Construções Rurais;GNE161;34;34;1E;30
Construções e Ambiência para Aves;GNE165;34;0;1A 2A 3A;30
Construções e Ambiência para Bovinos;GNE166;34;0;1A 2A 3A;30
Construções e Ambiência para Caprinos e Ovinos;GNE167;17;17;1A 2A 3A;30
Construções e Ambiência para Suinos;GNE169;34;0;1A 2A 3A;30
Controle da Poluição Hídrica em Áreas Rurais;GNE171;34;34;13A 1A 2A 5A;25
Controle da Poluição Hídrica em Áreas Rurais;GNE171;34;34;3A;30
Divisão e Demarcação de Propriedades Rurais;GNE173;0;34;1A 3A;30
Habitação;GNE175;34;0;1A 3A;20
Instalações para Agroindústrias;GNE176;34;0;1A 3A;20
Instalações para o Cultivo Protegido;GNE177;34;0;1A 3A;20
